id,subject_user,recommendation_time,clicked_user,click_time
147,950c8148b4c7703590bbe92d54ca1ef7,"13:00 23 Apr 2018",,
148,2a07c381f6cf80d5571d9ab610c2b3ef,"13:50 23 Apr 2018",,
149,950c8148b4c7703590bbe92d54ca1ef7,"13:54 23 Apr 2018",,
150,950c8148b4c7703590bbe92d54ca1ef7,"13:54 23 Apr 2018",,
151,9265c5c3c61f524d029b8fb21d1a708b,"13:57 23 Apr 2018",,
152,950c8148b4c7703590bbe92d54ca1ef7,"14:01 23 Apr 2018",,
153,950c8148b4c7703590bbe92d54ca1ef7,"14:01 23 Apr 2018",,
154,950c8148b4c7703590bbe92d54ca1ef7,"14:23 23 Apr 2018",,
155,81440d14ed5e2a76baf9066b3fa784df,"14:26 23 Apr 2018",,
156,81440d14ed5e2a76baf9066b3fa784df,"14:29 23 Apr 2018",,
159,81440d14ed5e2a76baf9066b3fa784df,"14:32 23 Apr 2018",,
160,81440d14ed5e2a76baf9066b3fa784df,"14:32 23 Apr 2018",,
161,81440d14ed5e2a76baf9066b3fa784df,"14:32 23 Apr 2018",,
162,81440d14ed5e2a76baf9066b3fa784df,"14:44 23 Apr 2018",,
163,81440d14ed5e2a76baf9066b3fa784df,"14:46 23 Apr 2018",,
164,3cac40ce4875d335f8d701062327c9ee,"14:57 23 Apr 2018",,
165,3cac40ce4875d335f8d701062327c9ee,"14:59 23 Apr 2018",,
166,3cac40ce4875d335f8d701062327c9ee,"15:25 23 Apr 2018",,
167,950c8148b4c7703590bbe92d54ca1ef7,"15:27 23 Apr 2018",,
169,3cac40ce4875d335f8d701062327c9ee,"15:30 23 Apr 2018",,
170,798d87e9f507955e12a85d54587b7956,"17:03 23 Apr 2018",,
171,ad101e89cff9eb0bf4de57242a2fa277,"17:06 23 Apr 2018",,
172,798d87e9f507955e12a85d54587b7956,"17:07 23 Apr 2018",,
174,3cac40ce4875d335f8d701062327c9ee,"17:13 23 Apr 2018",,
175,3cac40ce4875d335f8d701062327c9ee,"17:14 23 Apr 2018",,
176,d8b5f3844db11ca3c9f42f7cbca2be05,"17:37 23 Apr 2018",,
177,d8b5f3844db11ca3c9f42f7cbca2be05,"17:37 23 Apr 2018",,
178,d35e2b4f0ffb113f44350972c4dd90f4,"18:11 23 Apr 2018",,
179,d35e2b4f0ffb113f44350972c4dd90f4,"18:12 23 Apr 2018",,
180,c657ea4f0ae0ce8663159718e4198a08,"18:21 23 Apr 2018",,
181,c657ea4f0ae0ce8663159718e4198a08,"18:27 23 Apr 2018",,
182,c657ea4f0ae0ce8663159718e4198a08,"18:28 23 Apr 2018",,
183,79559cd5f813e7219e44fcc980477e26,"19:52 23 Apr 2018",,
184,7de279da8c81d24f6cdc5cec5a23232e,"21:58 23 Apr 2018",,
185,7de279da8c81d24f6cdc5cec5a23232e,"22:06 23 Apr 2018",,
186,4e5ef25b959438a2479130f063346c34,"0:22 24 Apr 2018",,
187,1b42d40ee1e6aa287253ddf9bc5ce31f,"0:22 24 Apr 2018",,
188,4e5ef25b959438a2479130f063346c34,"0:24 24 Apr 2018",,
189,1b42d40ee1e6aa287253ddf9bc5ce31f,"0:24 24 Apr 2018",,
190,c0b6791c297c8850e2051f32e27c23d4,"0:28 24 Apr 2018",,
191,bb275868ec4343b72da9b0719b57743f,"3:30 24 Apr 2018",,
192,bb275868ec4343b72da9b0719b57743f,"3:32 24 Apr 2018",,
193,bb275868ec4343b72da9b0719b57743f,"3:33 24 Apr 2018",,
194,e24125f081cf205aebb6dd76951c3cf7,"8:49 24 Apr 2018",,
195,e24125f081cf205aebb6dd76951c3cf7,"8:49 24 Apr 2018",,
196,e24125f081cf205aebb6dd76951c3cf7,"8:50 24 Apr 2018",,
197,e24125f081cf205aebb6dd76951c3cf7,"8:57 24 Apr 2018",,
198,b79d8ff5986e38440ab5cc6c25b09eba,"9:04 24 Apr 2018",,
199,b79d8ff5986e38440ab5cc6c25b09eba,"9:06 24 Apr 2018",,
200,b79d8ff5986e38440ab5cc6c25b09eba,"9:12 24 Apr 2018",,
201,b79d8ff5986e38440ab5cc6c25b09eba,"9:13 24 Apr 2018",,
202,b79d8ff5986e38440ab5cc6c25b09eba,"9:31 24 Apr 2018",,
203,b79d8ff5986e38440ab5cc6c25b09eba,"10:01 24 Apr 2018",,
204,b79d8ff5986e38440ab5cc6c25b09eba,"10:02 24 Apr 2018",,
205,6f1ae29cd040fc6e7432fef38f869ec7,"10:14 24 Apr 2018",,
206,bcf26990aef7ed2f95bceb7c5ebd49b4,"10:20 24 Apr 2018",,
207,bcf26990aef7ed2f95bceb7c5ebd49b4,"10:37 24 Apr 2018",,
208,bcf26990aef7ed2f95bceb7c5ebd49b4,"10:41 24 Apr 2018",,
209,bcf26990aef7ed2f95bceb7c5ebd49b4,"10:41 24 Apr 2018",,
210,8bfcfe5f7cd08273043453607792f83c,"10:43 24 Apr 2018",,
211,8bfcfe5f7cd08273043453607792f83c,"10:43 24 Apr 2018",,
212,5a61f8eb7a17abd6947a8ff1e224f559,"10:44 24 Apr 2018",,
213,d39f7a281c4d59114c95e89914488d9e,"11:35 24 Apr 2018",,
214,a1a5e5ae4049cf356ee3edff5946e3fb,"12:35 24 Apr 2018",,
215,a1a5e5ae4049cf356ee3edff5946e3fb,"12:40 24 Apr 2018",,
216,a1a5e5ae4049cf356ee3edff5946e3fb,"12:53 24 Apr 2018",,
217,2f7d4172c98e14504f37635a6f289176,"13:01 24 Apr 2018",,
218,2f9caa279f8b2f4a2d7629f1d55e080a,"13:05 24 Apr 2018",,
219,30afe271b5a3eedb24cf18fbbd27e55c,"13:18 24 Apr 2018",,
220,30afe271b5a3eedb24cf18fbbd27e55c,"13:19 24 Apr 2018",,
